favorites,retweets,tweet_id
38182,8360,892420643555336193
32741,6175,892177421306343426
24654,4085,891815181378084864
41510,8495,891689557279858688
39692,9197,891327558926688256
19927,3057,891087950875897856
11650,2027,890971913173991426
64406,18544,890729181411237888
27376,4200,890609185150312448
31419,7259,890240255349198849
30206,7212,890006608113172480
27378,4892,889880896479866881
47385,9881,889665388333682689
26749,4470,889638837579907072
14882,2207,889531135344209921
24870,5281,889278841981685760
28663,4416,888917238123831296
25175,4223,888804989199671297
19534,3490,888554962724278272
21430,3438,888078434458587136
29723,5298,887705289381826560
45578,11471,887517139158093824
68024,17866,887473957103951883
33175,10234,887343217045368832
30108,5867,887101392804085760
34631,7641,886983233522544640
11874,3226,886736880519319552
22102,4392,886680336477933568
20875,3144,886366144734445568
116,4,886267009285017600
27567,6183,886258384151887873
0,105,886054160059072513
32173,6681,885984800019947520
35443,6327,885528943205470208
20122,3701,885518971528720385
0,18265,885311592912609280
21594,4308,885167619883638784
76260,17990,884925521741709313
27499,5556,884876753390489601
23946,4655,884562892145688576
26594,5565,884441805382717440
71937,20138,884247878851493888
20066,2941,884162670584377345
21574,3391,883838122936631299
45237,9789,883482846933004288
22350,3640,883360690899218434
36646,6570,883117836046086144
23616,3862,882992080364220416
27892,4841,882762694511734784
27507,5994,882627270321602560
44301,11418,882268110199369728
28928,4895,882045870035918850
23969,3343,881906580714921986
49854,10502,881666595344535552
124,7,881633300179243008
48718,15699,881536004380872706
22751,5091,881268444196462592
16767,2742,880935762899988482
20966,3755,880872448815771648
28112,6178,880465832366813184
26678,4154,880221127280381952
27242,4293,880095782870896641
22005,3444,879862464715927552
308,10,879674319642796034
23088,3139,879492040517615616
104352,43550,879415818425184262
16543,3071,879376492567855104
0,6729,879130579576475649
22242,4652,879050749262655488
18719,2660,879008229531029506
19137,4075,878776093423087618
29856,7107,878604707211726852
0,1270,878404777348136964
0,6565,878316110768087041
7643,1270,878281511006478336
41455,6729,878057613040115712
78612,18842,877736472329191424
0,80,877611172832227328
22421,3761,877556246731214848
27007,5109,877316821321428993
26758,5516,877201837425926144
20404,3301,876838120628539392
23191,4576,876537666061221889
18506,2367,876484053909872640
27546,4636,876120275196170240
24859,4242,875747767867523072
21637,4873,875144289856114688
27076,5985,875097192612077568
25153,4668,875021211251597312
27480,4600,874680097055178752
0,14596,874434818259525634
25744,4072,874296783580663808
22378,3921,874057562936811520
34183,10326,874012996292530176
23917,3912,873580283840344065
0,1576,873337748698140672
7146,1576,873213775632977920
27061,5367,872967104147763200
14556,3671,872820683541237760
20579,3674,872620804844003328
40253,8964,872486979161796608
33858,6287,872261713294495745
34100,8082,872122724285648897
37636,11125,871879754684805121
20089,3461,871762521631449091
20036,3440,871515927908634625
0,5685,871166179821445120
20758,5488,871102520638267392
22481,3809,871032628920680449
33352,6191,870804317367881728
119,3,870726314365509632
12333,2639,870656317836468226
82172,26203,870374049280663552
21704,4151,870308999962521604
36451,8348,870063196459192321
42182,10042,869772420881756160
28102,6356,869702957897576449
15902,3138,869596645499047938
20345,3794,869227993411051520
65406,14532,868880397819494401
0,2104,868639477480148993
26755,5400,868622495443632128
10105,2104,868552278524837888
24143,4202,867900495410671616
33947,7375,867774946302451713
16096,2525,867421006826221569
0,121,867072653475098625
32217,7923,867051520902168576
20076,4852,866720684873056260
19343,3516,866686824827068416
122364,35585,866450705531457537
52654,14596,866334964761202691
0,8455,866094527597207552
25674,5674,865718153858494464
26545,5057,865359393868664832
28085,7772,865006731092295680
32392,8813,864873206498414592
14683,3076,864279568663928832
30284,9060,864197398364647424
20719,4204,863907417377173506
15376,4235,863553081350529029
0,2490,863471782782697472
23948,5341,863432100342583297
2279,99,863427515083354112
8820,1118,863079547188785154
8574,2490,863062471531167744
19284,5170,862831371563274240
17174,3584,862722525377298433
20690,5039,862457590147678208
75049,23707,862096992088072192
36354,10897,861383897657036800
17329,4235,861288531465048066
16845,3873,861005113778896900
0,2200,860981674716409858
0,839,860924035999428608
7574,2200,860563773140209665
23852,5386,860524505164394496
18476,3550,860276583193509888
16856,5960,860184849394610176
0,31545,860177593139703809
19746,4187,859924526012018688
15564,3587,859851578198683649
18790,1610,859607811541651456
90899,30946,859196978902773760
34292,13940,859074603037188101
0,8352,858860390427611136
15727,3561,858843525470990336
21767,4973,858471635011153920
15922,2994,858107933456039936
16341,2648,857989990357356544
34753,10937,857746408056729600
5996,1690,857393404942143489
20303,4655,857263160327368704
232,18,857214891891077121
0,177,857062103051644929
19240,4125,857029823797047296
0,11028,856602993587888130
16519,2969,856543823941562368
12031,1941,856526610513747968
0,702,856330835276025856
526,17,856288084350160898
28200,6526,856282028240666624
352,28,855862651834028034
5129,1064,855860136149123072
12065,2185,855857698524602368
46259,18310,855851453814013952
27105,5617,855818117272018944
30524,8509,855459453768019968
0,6204,855245323840757760
0,47,855138241867124737
23337,6350,854732716440526848
29980,7144,854482394044301312
19343,4880,854365224396361728
32722,7802,854120357044912130
16591,3289,854010172552949760
29305,6054,853760880890318849
35759,10583,853639147608842240
15940,3733,853299958564483072
0,2104,852936405516943360
9302,1922,852912242202992640
15338,2260,852672615818899456
16835,3687,852553447878664193
34071,10369,852311364735569921
20587,7133,852226086759018497
11804,1665,852189679701164033
0,10124,851953902622658560
0,23,851861385021730816
16710,3647,851591660324737024
25045,7437,851464819735769094
21353,6018,851224888060895234
32055,9779,850753642995093505
13500,2757,850380195714523136
3546,352,850333567704068097
16883,4039,850145622816686080
21161,5167,850019790995546112
31533,8023,849776966551130114
0,5237,849668094696017920
16439,3319,849412302885593088
11827,1993,849336543269576704
44022,9008,849051919805034497
26132,4566,848690551926992896
25677,4870,848324959059550208
8478,789,848213670039564288
16945,3254,848212111729840128
0,3449,847978865427394560
0,454,847971574464610304
24417,5405,847962785489326080
5690,1423,847842811428974592
7283,451,847617282490613760
19510,3599,847606175596138505
21261,4559,847251039262605312
20758,6214,847157206088847362
22284,3395,847116187444137987
20899,4171,846874817362120707
46483,12328,846514051647705089
14705,3286,846505985330044928
33013,9637,846153765933735936
32152,10491,846139713627017216
16656,3080,846042936437604353
30545,9306,845812042753855489
26165,5088,845677943972139009
7959,1926,845397057150107648
24317,5743,845306882940190720
0,8168,845098359547420673
14224,2753,844979544864018432
15775,3425,844973813909606400
40413,11028,844704788403113984
17200,3353,844580511645339650
14237,2343,844223788422217728
15801,3119,843981021012017153
22358,4939,843856843873095681
17649,2941,843604394117681152
22463,6460,843235543001513987
15910,3843,842846295480000512
7056,1360,842765311967449089
18929,3743,842535590457499648
25618,6204,842163532590374912
14663,3242,842115215311396866
0,16408,841833993020538882
26840,8298,841680585030541313
13225,3927,841439858740625411
20682,5813,841320156043304961
16575,5024,841314665196081154
23979,5685,841077006473256960
0,1878,840761248237133825
0,17350,840728873075638272
188,2,840698636975636481
12892,1050,840696689258311684
9409,1878,840632337062862849
17269,4881,840370681858686976
20217,6148,840268004936019968
14086,2464,839990271299457024
28893,8352,839549326359670784
0,154,839290600511926273
28573,7021,839239871831150596
20600,4263,838952994649550848
11731,2231,838921590096166913
0,36,838916489579200512
0,11884,838831947270979586
11467,1423,838561493054533637
23748,5179,838476387338051585
0,10849,838201503651401729
1771,353,838150277551247360
149,0,838085839343206401
18541,3392,838083903487373313
35945,8455,837820167694528512
4032,476,837482249356513284
13455,2467,837471256429613056
22230,5701,837366284874571778
16855,2576,837110210464448512
13396,2472,836989968035819520
20233,4973,836753516572119041
13275,2393,836677758902222849
0,591,836648853927522308
0,29774,836397794269200385
15496,3185,836380477523124226
22395,4625,836260088725786625
20126,4625,836001077879255040
0,8798,835685285446955009
18744,3907,835574547218894849
0,1839,835536468978302976
0,22686,835309094223372289
17295,3230,835297930240217089
8164,1839,835264098648616962
2202,78,835246439529840640
27537,6197,835172783151792128
23662,3255,835152434251116546
11425,1784,834931633769889797
22294,5914,834786237630337024
14441,2740,834574053763584002
0,11529,834477809192075265
10142,1810,834458053273591808
21729,5169,834209720923721728
16620,3929,834167344700198914
10594,2293,834089966724603904
13779,2398,834086379323871233
14141,2601,833863086058651648
16192,3718,833826103416520705
0,233,833732339549220864
21842,3470,833722901757046785
15684,2234,833479644947025920
21303,5237,833124694597443584
14035,2398,832998151111966721
0,40,832769181346996225
17759,3921,832757312314028032
12538,3175,832682457690300417
3082,563,832645525019123713
16756,3031,832636094638288896
12614,2407,832397543355072512
18120,3449,832369877331693569
11944,2523,832273440279240704
0,6703,832215909146226688
0,10164,832215726631055365
70,2,832088576586297345
0,10526,832040443403784192
18828,5031,832032802820481025
25365,6646,831939777352105988
361,35,831926988323639298
29224,7058,831911600680497154
11040,1963,831670449226514432
7586,2104,831650051525054464
9517,2485,831552930092285952
9715,1655,831322785565769729
6896,1210,831315979191906304
12396,2642,831309418084069378
12591,2225,831262627380748289
8434,1620,830956169170665475
70790,18265,830583320585068544
0,6191,830173239259324417
10389,3262,830097400375152640
0,5444,829878982036299777
12936,2125,829861396166877184
33596,11529,829501995190984704
11075,2204,829449946868879360
36641,10118,829374341691346946
25945,8052,829141528400556032
56127,17622,829011960981237760
0,3694,828801551087042563
27077,6375,828770345708580865
38791,12204,828708714936930305
10061,1464,828650029636317184
6661,1251,828409743546925057
8106,1396,828408677031882754
13380,2417,828381636999917570
7820,1154,828376505180889089
13274,3198,828372645993398273
